epoch,coxLoss,stratLoss,trainCI,valCI,variance
385,-0.2979,0.0000,0.7357,0.7373,0.7020891904830933
386,-0.3001,0.0000,0.7378,0.7371,0.7092465758323669
387,-0.3079,0.0000,0.7414,0.7371,0.6975950002670288
388,-0.2957,0.0000,0.7344,0.7369,0.7059178352355957
389,-0.2912,0.0000,0.7340,0.7369,0.7009360194206238
390,-0.2987,0.0000,0.7348,0.7369,0.7039325833320618
391,-0.2969,0.0000,0.7361,0.7370,0.7070106863975525
392,-0.2904,0.0000,0.7335,0.7369,0.7066873908042908
393,-0.3006,0.0000,0.7367,0.7370,0.7063112854957581
394,-0.3005,0.0000,0.7348,0.7369,0.6977084279060364
395,-0.3038,0.0000,0.7362,0.7367,0.7070757150650024
396,-0.2947,0.0000,0.7361,0.7366,0.7072521448135376
397,-0.2975,0.0000,0.7340,0.7366,0.7008994221687317
398,-0.2795,0.0000,0.7312,0.7365,0.7019908428192139
399,-0.3067,0.0000,0.7379,0.7365,0.7050819993019104
400,-0.2921,0.0000,0.7325,0.7364,0.7033752799034119
401,-0.3092,0.0000,0.7411,0.7365,0.7042152285575867
402,-0.3067,0.0000,0.7383,0.7362,0.706345796585083
403,-0.3011,0.0000,0.7352,0.7360,0.7013320326805115
404,-0.3017,0.0000,0.7376,0.7358,0.7068113684654236
405,-0.3028,0.0000,0.7391,0.7357,0.7004502415657043
406,-0.3023,0.0000,0.7371,0.7358,0.7025082111358643
407,-0.3071,0.0000,0.7386,0.7358,0.6989967823028564
408,-0.3116,0.0000,0.7412,0.7357,0.7024682760238647
409,-0.3048,0.0000,0.7388,0.7356,0.7021982669830322
410,-0.3070,0.0000,0.7379,0.7355,0.7047784328460693
411,-0.3090,0.0000,0.7399,0.7355,0.7015824317932129
412,-0.3115,0.0000,0.7401,0.7355,0.7013406753540039
413,-0.2917,0.0000,0.7312,0.7355,0.702627956867218
414,-0.3138,0.0000,0.7407,0.7355,0.6966979503631592
415,-0.3030,0.0000,0.7372,0.7355,0.7064818143844604
416,-0.2996,0.0000,0.7367,0.7353,0.7013107538223267
417,-0.3004,0.0000,0.7357,0.7353,0.7044178247451782
418,-0.3055,0.0000,0.7392,0.7352,0.7042446732521057
419,-0.3012,0.0000,0.7381,0.7352,0.7039845585823059
420,-0.2999,0.0000,0.7375,0.7353,0.7149022817611694
421,-0.3034,0.0000,0.7384,0.7353,0.7101085186004639
422,-0.3114,0.0000,0.7403,0.7354,0.7112975120544434
423,-0.3027,0.0000,0.7382,0.7352,0.706830620765686
424,-0.3164,0.0000,0.7407,0.7352,0.6964235901832581
425,-0.2965,0.0000,0.7351,0.7351,0.7143108248710632
426,-0.3043,0.0000,0.7384,0.7351,0.7060934901237488
427,-0.3198,0.0000,0.7428,0.7351,0.7106451988220215
428,-0.3106,0.0000,0.7395,0.7350,0.7043182849884033
429,-0.3027,0.0000,0.7382,0.7350,0.7081436514854431
430,-0.3156,0.0000,0.7419,0.7348,0.7131363153457642
431,-0.3080,0.0000,0.7392,0.7349,0.7065297961235046
432,-0.3063,0.0000,0.7417,0.7349,0.7091114521026611
433,-0.3156,0.0000,0.7409,0.7349,0.7108855247497559
434,-0.3009,0.0000,0.7364,0.7349,0.7084600329399109
435,-0.3080,0.0000,0.7406,0.7349,0.7012864947319031
436,-0.3090,0.0000,0.7390,0.7350,0.7019208669662476
437,-0.3110,0.0000,0.7389,0.7348,0.7112249732017517
438,-0.3179,0.0000,0.7420,0.7348,0.7137848734855652
439,-0.3160,0.0000,0.7424,0.7349,0.7027415633201599
